Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ,¿Ü±¹ÀÎ,±â°ü°è,±ÝÀ¶ÅõÀÚ,º¸Çè,Åõ½Å,ÀºÇà,±âÅ¸±ÝÀ¶,¿¬±â±Ý,±âÅ¸¹ýÀÎ,±âÅ¸¿ÜÀÎ,»ç¸ðÆÝµå
A068270,¼¿Æ®¸®¿Â,20221221,-37857,69912,-26967,33872,-11859,-4417,0,-1101,-25372,-5402,314,-18091
A068270,¼¿Æ®¸®¿Â,20221222,-61195,603,63785,47733,-1472,6868,0,101,10268,-2816,-376,286
A068270,¼¿Æ®¸®¿Â,20221223,31033,-18546,-11841,41761,-3161,-26743,0,100,-3019,-510,-134,-20780
A068270,¼¿Æ®¸®¿Â,20221226,-77755,44194,50576,69640,7013,1138,5,0,251,-16764,-252,-27470
A068270,¼¿Æ®¸®¿Â,20221227,-233062,53539,196350,197233,22387,5216,318,0,16116,-16463,-366,-44920
A068270,¼¿Æ®¸®¿Â,20221228,194212,-75117,-123162,-104577,4789,-8650,776,1706,11908,3355,712,-29114
A068270,¼¿Æ®¸®¿Â,20221229,221156,-6619,-219376,-162085,1001,-15395,972,3205,30182,4135,704,-77256
A068270,¼¿Æ®¸®¿Â,20230102,38861,1223,-46327,-34874,284,1108,234,350,-5037,6071,172,-8392
A068270,¼¿Æ®¸®¿Â,20230103,33999,-379,-36059,-48055,-5011,-114,0,-256,19135,2263,176,-1758
A068270,¼¿Æ®¸®¿Â,20230104,19201,-8693,-11832,-67425,-1435,4599,0,1085,55047,1066,258,-3703
A068270,¼¿Æ®¸®¿Â,20230105,-15604,4431,10603,-39710,6123,11303,0,0,32570,528,42,317
A068270,¼¿Æ®¸®¿Â,20230106,-58411,24919,33044,-23071,10131,550,0,33,61579,460,-12,-16178
A068270,¼¿Æ®¸®¿Â,20230109,-23321,-23383,44395,28314,11174,-1787,-50,899,4273,889,1420,1572
A068270,¼¿Æ®¸®¿Â,20230110,-6235,-62605,67931,39323,11692,534,-50,899,15633,936,-27,-100
A068270,¼¿Æ®¸®¿Â,20230111,-55261,-22463,78575,46376,-96,1963,0,-350,28656,-660,-191,2026
A068270,¼¿Æ®¸®¿Â,20230112,-105642,31039,76403,2164,1071,6670,557,-476,60423,-964,-836,5994
A068270,¼¿Æ®¸®¿Â,20230113,-17342,8061,8007,18425,-7995,-2965,-977,345,1292,1209,65,-118
A068270,¼¿Æ®¸®¿Â,20230116,3518,-19898,16080,14392,1479,-71,-100,0,427,283,17,-47
A068270,¼¿Æ®¸®¿Â,20230117,110014,-20168,-88519,-27179,-9775,-25264,0,0,-21519,-1592,265,-4782
