¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A018000,¿Ø¥œΩº,20220729,88649,-61042,-23115,-11043,0,-12072,0,0,0,-4567,75,0
A018000,¿Ø¥œΩº,20220728,-37656,36973,-2879,121,0,-3000,0,0,0,475,3087,0
A018000,¿Ø¥œΩº,20220802,-13388,-3106,-8395,2372,0,-13428,0,0,0,18176,6713,2661
A018000,¿Ø¥œΩº,20220801,-2807,2172,-6657,1610,0,-10928,0,0,0,6100,1192,2661
A018000,¿Ø¥œΩº,20220804,105880,-95534,-3324,-824,0,-2500,0,0,0,-7292,270,0
A018000,¿Ø¥œΩº,20220803,39419,-31749,-2104,396,0,-2500,0,0,0,-5376,-190,0
A018000,¿Ø¥œΩº,20220805,-159425,163165,-2627,1872,0,-4499,0,0,0,1416,-2529,0
A018000,¿Ø¥œΩº,20220808,-125045,12255,94985,2278,0,92707,0,0,0,18648,-843,0
A018000,¿Ø¥œΩº,20220810,-293648,245614,59953,26345,0,33608,0,0,0,-11718,-201,0
A018000,¿Ø¥œΩº,20220809,-152118,179309,-14887,-1495,0,-13392,0,0,0,-11675,-629,0
A018000,¿Ø¥œΩº,20220812,217309,-213181,-366,3135,0,-3501,0,0,0,-2276,-1486,0
A018000,¿Ø¥œΩº,20220811,55291,-47671,-5338,-1837,0,-3501,0,0,0,-312,-1970,0
A018000,¿Ø¥œΩº,20220816,-103475,103567,1553,1553,0,0,0,0,0,577,-2222,0
A018000,¿Ø¥œΩº,20220818,-199909,86582,108557,-2144,0,110701,0,0,0,2526,2244,0
A018000,¿Ø¥œΩº,20220817,-51784,48499,-1681,-1681,0,0,0,0,0,2423,2543,0
A018000,¿Ø¥œΩº,20220819,67448,-115920,35865,-367,0,36232,0,0,0,-52,12659,0
A018000,¿Ø¥œΩº,20220822,-52353,48595,2057,2057,0,0,0,0,0,144,1557,0
A018000,¿Ø¥œΩº,20220824,-428337,256607,179724,38486,0,136036,0,0,0,2273,-10267,5202
A018000,¿Ø¥œΩº,20220823,-362666,193095,173554,37518,0,136036,0,0,0,5388,-9371,0
A018000,¿Ø¥œΩº,20220826,380012,-377979,-555,-555,0,0,0,0,0,674,-2152,0
A018000,¿Ø¥œΩº,20220825,338884,-336797,-938,-938,0,0,0,0,0,515,-1664,0
A018000,¿Ø¥œΩº,20220830,19321,-15559,3883,3883,0,0,0,0,0,-1078,-6567,0
A018000,¿Ø¥œΩº,20220829,-56491,60963,3781,3781,0,0,0,0,0,-1687,-6566,0
A018000,¿Ø¥œΩº,20220901,-34448,71394,-51138,-3297,0,-47841,0,0,0,2202,11990,0
A018000,¿Ø¥œΩº,20220831,-11050,56362,-52183,-4342,0,-47841,0,0,0,891,5980,0
A018000,¿Ø¥œΩº,20220902,132771,9002,-136817,-45551,0,-91266,0,0,0,-2316,-2640,0
A018000,¿Ø¥œΩº,20220905,3434,18497,-663,-663,0,0,0,0,0,-21400,132,0
A018000,¿Ø¥œΩº,20220907,-43530,35745,7581,3971,0,0,0,0,0,-250,454,3610
A018000,¿Ø¥œΩº,20220906,-87441,77582,8753,5143,0,0,0,0,0,750,356,3610
A018000,¿Ø¥œΩº,20220908,37209,-9878,-27282,2762,0,-30044,0,0,0,0,-49,0
A018000,¿Ø¥œΩº,20220913,-5426,3486,4164,1165,0,2999,0,0,0,0,-2224,0
A018000,¿Ø¥œΩº,20220915,-64505,15978,3249,2249,0,1000,0,0,0,46714,-1436,0
A018000,¿Ø¥œΩº,20220914,-61364,13031,2785,785,0,2000,0,0,0,46715,-1167,0
A018000,¿Ø¥œΩº,20220916,50582,-48378,82,82,0,0,0,0,0,-2750,464,0
A018000,¿Ø¥œΩº,20220919,-1289,-3719,8954,954,0,8000,0,0,0,303,-4249,0
A018000,¿Ø¥œΩº,20220921,-24783,24058,768,768,0,0,0,0,0,0,-43,0
A018000,¿Ø¥œΩº,20220920,-14355,14172,222,222,0,0,0,0,0,0,-39,0
A018000,¿Ø¥œΩº,20220923,9188,-1542,-4879,121,0,-5000,0,0,0,0,-2767,0
A018000,¿Ø¥œΩº,20220922,-60011,64827,-4783,217,0,-5000,0,0,0,0,-33,0
A018000,¿Ø¥œΩº,20220927,-115481,127912,159,159,0,0,0,0,0,0,-12590,0
A018000,¿Ø¥œΩº,20220926,-69818,68215,1967,1967,0,0,0,0,0,0,-364,0
A018000,¿Ø¥œΩº,20220929,-22813,-6970,8459,8459,0,0,0,0,0,10087,11237,0
A018000,¿Ø¥œΩº,20220928,-15395,10457,1056,1056,0,0,0,0,0,4253,-371,0
A018000,¿Ø¥œΩº,20220930,-55052,54272,281,281,0,0,0,0,0,-1,500,0
A018000,¿Ø¥œΩº,20221005,207025,-87343,-109444,-25795,0,-83649,0,0,0,0,-10238,0
