,keyword,sum
1259,선배,25
1260,44,25
1261,1917억원,25
1262,왔다,24
1263,해왔다,24
1264,규,24
1265,본계약,24
1266,거쳐,24
1267,과학,24
1268,원부,24
1269,종료,24
1270,걸,24
1271,이어지고,24
1272,완성,24
1273,오른쪽,24
1274,통상,24
1275,7000,24
1276,공간,24
1277,초과,24
1278,꼽힌다,24
1279,수출,24
1280,거래소,24
1281,변경,24
1282,재무,24
1283,원스톱,24
1284,믹스,24
1285,요구,24
1286,NH,24
1287,문서,24
1288,대웅제약,24
1289,법적,24
1290,유한양행,24
1291,0,24
1292,5000억,24
1293,부담,24
1294,실버,24
1295,레카,24
1296,결,24
1297,20221011,24
1298,회장,24
1299,위기,24
1300,의결,24
1301,자녀,24
1302,어려운,23
1303,기획,23
1304,신입사원,23
1305,까지다,23
1306,절반,23
1307,않고,23
1308,대신,23
1309,K,23
1310,항암제,23
1311,집약,23
1312,아래,23
1313,건강한,23
1314,이르는,23
1315,서는,23
1316,25,23
1317,지금,23
1318,이하,23
1319,유치,23
1320,원화,23
1321,언급,23
1322,GMP,23
1323,73,23
1324,창사,23
1325,히,23
1326,10만,23
1327,둔화,23
1328,유입,23
1329,적자,23
1330,베스트,23
1331,치를,23
1332,소요,23
1333,황,23
1334,추세,23
1335,차례,23
1336,우위,23
1337,기사,23
1338,보안,23
1339,요소,23
1340,우수,23
1341,기까지,23
1342,클라우드,23
1343,13억원,23
1344,성과급,23
1345,디캣,23
1346,7209억원,23
1347,아이디어,22
1348,나섰다,22
1349,격려,22
1350,늘어날,22
1351,요청,22
1352,있지만,22
1353,로서,22
1354,얀,22
1355,셈,22
1356,않아,22
1357,선언,22
1358,향,22
1359,주제,22
1360,감독,22
1361,청소년,22
1362,그동안,22
1363,씨,22
1364,11년,22
1365,별로,22
1366,자산,22
1367,관측,22
1368,기적,22
1369,배터리,22
1370,특징,22
1371,석,22
1372,터,22
1373,입,22
1374,가처분,22
1375,SDI,22
1376,구간,22
1377,맞춰,22
1378,지적,22
1379,유망,22
1380,채널,22
1381,80,22
1382,코리아,22
1383,새,22
1384,27001,22
1385,3247억원,22
1386,가족,22
1387,리서치,22
1388,예수,22
1389,되어,21
1390,공유,21
1391,않았다,21
1392,증액,21
1393,만,21
1394,이동건,21
